PDE,param,model,RMSE,normalized RMSE,Conservation RMSE,Maximum Error,RMSE at boundary,RMSE FT low,RMSE FT mid,RMSE FT high
Advection,beta4.0,Unet-PF-20,1.0899245738983154,1.6195831298828125,0.5298706293106079,5.397418022155762,0.9351921081542969,0.3980923593044281,0.09872441738843918,0.007276874966919422
Burgers,Nu1.0,Unet-PF-20,0.39990633726119995,3.348384141921997,0.42650192975997925,2.9019017219543457,0.418798565864563,0.14943090081214905,0.01849549636244774,0.00824655219912529
